Date,Value
2016-09-30,122407.0
2016-06-30,121876.0
2016-03-31,121465.0
2015-12-31,120840.0
2015-09-30,120115.0
2015-06-30,119498.0
2015-03-31,118867.0
2014-12-31,118161.0
2014-09-30,117427.0
2014-06-30,116700.0
2014-03-31,115959.0
2013-12-31,115429.0
2013-09-30,114816.0
2013-06-30,114243.0
2013-03-31,113643.0
2012-12-31,112980.0
2012-09-30,112446.0
2012-06-30,112019.0
2012-03-31,111573.0
2011-12-31,110766.0
2011-09-30,110156.0
2011-06-30,109609.0
2011-03-31,108861.0
2010-12-31,108457.0
2010-09-30,108006.0
2010-06-30,107674.0
2010-03-31,107315.0
2009-12-31,107449.0
2009-09-30,107974.0
2009-06-30,108827.0
2009-03-31,110738.0
2008-12-31,113009.0
2008-09-30,114614.0
2008-06-30,115396.0
2008-03-31,115933.0
2007-12-31,115974.0
2007-09-30,115840.0
2007-06-30,115794.0
2007-03-31,115504.0
2006-12-31,115003.0
2006-09-30,114695.0
2006-06-30,114352.0
2006-03-31,113880.0
2005-12-31,113100.0
2005-09-30,112628.0
2005-06-30,111966.0
2005-03-31,111259.0
2004-12-31,110872.0
2004-09-30,110348.0
2004-06-30,110028.0
2004-03-31,109363.0
2003-12-31,108985.0
2003-09-30,108661.0
2003-06-30,108602.0
2003-03-31,108807.0
2002-12-31,109030.0
2002-09-30,109010.0
2002-06-30,109146.0
2002-03-31,109372.0
2001-12-31,109897.0
2001-09-30,110790.0
2001-06-30,111349.0
2001-03-31,111849.0
2000-12-31,111792.0
2000-09-30,111477.0
2000-06-30,111085.0
2000-03-31,110618.0
1999-12-31,109987.0
1999-09-30,109222.0
1999-06-30,108601.0
1999-03-31,107904.0
1998-12-31,107235.0
1998-09-30,106553.0
1998-06-30,105943.0
1998-03-31,105228.0
1997-12-31,104495.0
1997-09-30,103613.0
1997-06-30,102933.0
1997-03-31,102089.0
1996-12-31,101370.0
1996-09-30,100678.0
1996-06-30,99951.0
1996-03-31,99191.0
1995-12-31,98719.0
1995-09-30,98208.0
1995-06-30,97711.0
1995-03-31,97287.0
1994-12-31,96473.0
1994-09-30,95610.0
1994-06-30,94671.0
1994-03-31,93709.0
1993-12-31,92943.0
1993-09-30,92196.0
1993-06-30,91591.0
1993-03-31,91047.0
1992-12-31,90460.0
1992-09-30,90053.0
1992-06-30,89882.0
1992-03-31,89656.0
1991-12-31,89707.0
1991-09-30,89746.0
1991-06-30,89800.0
1991-03-31,90303.0
1990-12-31,90794.0
1990-09-30,91172.0
1990-06-30,91285.0
1990-03-31,91214.0
1989-12-31,90638.0
1989-09-30,90208.0
1989-06-30,90033.0
1989-03-31,89602.0
1988-12-31,88882.0
1988-09-30,88184.0
1988-06-30,87523.0
1988-03-31,86752.0
1987-12-31,86086.0
1987-09-30,85281.0
1987-06-30,84595.0
1987-03-31,83872.0
1986-12-31,83314.0
1986-09-30,82835.0
1986-06-30,82397.0
1986-03-31,82094.0
1985-12-31,81754.0
1985-09-30,81220.0
1985-06-30,80803.0
1985-03-31,80211.0
1984-12-31,79616.0
1984-09-30,78840.0
1984-06-30,78022.0
1984-03-31,77064.0
1983-12-31,75875.0
1983-09-30,74583.0
1983-06-30,73672.0
1983-03-31,72990.0
1982-12-31,72848.0
1982-09-30,73442.0
1982-06-30,74031.0
1982-03-31,74495.0
1981-12-31,75075.0
1981-09-30,75444.0
1981-06-30,75150.0
1981-03-31,74785.0
1980-12-31,74344.0
1980-09-30,73662.0
1980-06-30,73963.0
1980-03-31,74652.0
1979-12-31,74414.0
1979-09-30,74110.0
1979-06-30,73769.0
1979-03-31,73168.0
1978-12-31,72452.0
1978-09-30,71564.0
1978-06-30,70713.0
1978-03-31,69330.0
1977-12-31,68620.0
1977-09-30,67804.0
1977-06-30,66964.0
1977-03-31,65970.0
1976-12-31,65138.0
1976-09-30,64724.0
1976-06-30,64353.0
1976-03-31,63812.0
1975-12-31,62828.0
1975-09-30,62200.0
1975-06-30,61733.0
1975-03-31,62247.0
1974-12-31,63657.0
1974-09-30,64276.0
1974-06-30,64293.0
1974-03-31,64092.0
1973-12-31,63824.0
1973-09-30,63231.0
1973-06-30,62841.0
1973-03-31,62259.0
1972-12-31,61326.0
1972-09-30,60507.0
1972-06-30,60070.0
1972-03-31,59383.0
1971-12-31,58714.0
1971-09-30,58394.0
1971-06-30,58205.0
1971-03-31,57956.0
1970-12-31,57750.0
1970-09-30,58262.0
1970-06-30,58487.0
1970-03-31,58772.0
1969-12-31,58697.0
1969-09-30,58520.0
1969-06-30,58049.0
1969-03-31,57460.0
1968-12-31,56866.0
1968-09-30,56271.0
1968-06-30,55781.0
1968-03-31,55287.0
1967-12-31,54919.0
1967-09-30,54479.0
1967-06-30,54131.0
1967-03-31,54100.0
1966-12-31,53829.0
1966-09-30,53470.0
1966-06-30,52925.0
1966-03-31,52224.0
1965-12-31,51574.0
1965-09-30,50957.0
1965-06-30,50389.0
1965-03-31,49822.0
1964-12-31,49270.0
1964-09-30,48913.0
1964-06-30,48416.0
1964-03-31,48127.0
1963-12-31,47813.0
1963-09-30,47554.0
1963-06-30,47333.0
1963-03-31,46996.0
1962-12-31,46913.0
1962-09-30,46794.0
1962-06-30,46664.0
1962-03-31,46241.0
1961-12-31,45894.0
